,id,class
0,1082345732810653697,3.0
1,1083905151453278210,2.0
2,1082635444486094848,2.0
3,1084997820585775105,2.0
4,1084096679987609600,1.0
5,1085520848814002176,1.0
6,1082274251640586240,3.0
7,1084508255420903424,3.0
8,1082305603589074944,1.0
9,1084194304485138433,1.0
10,1083825009909551106,3.0
11,1084372417731006464,3.0
12,1085318693540769794,1.0
13,1084078273666170880,1.0
14,1082273108705361920,1.0
15,1082341451332284416,1.0
16,1085321541422891009,1.0
17,1083546425819123713,1.0
18,1083667332608811008,3.0
19,1084188977190588416,3.0
20,1082367118241382400,3.0
21,1084115856903286785,1.0
22,1082735037261508608,1.0
23,1083040570212261889,1.0
24,1082238248548749312,1.0
25,1084723359936638977,1.0
26,1085134158698110977,1.0
27,1083500376928718848,1.0
28,1085227353406607360,1.0
29,1082737973572104192,3.0
30,1082412521561251846,3.0
31,1085607155099754496,3.0
32,1085449369233645569,3.0
33,1083199211292774401,3.0
34,1084718512390791168,3.0
35,1085570016593018880,3.0
36,1082228958068920320,3.0
37,1083702049504706560,1.0
38,1085552478240821248,1.0
39,1084665593356259328,3.0
40,1084661255976161280,3.0
41,1084946193854226437,3.0
42,1082350046480351233,3.0
43,1084917997184184320,3.0
44,1082394568887279617,3.0
45,1084326643303366656,1.0
46,1083430665654284289,1.0
47,1082316865739911168,3.0
48,1083689864221085696,1.0
49,1082217585523986432,1.0
50,1085110139311587328,1.0
51,1085214742451535879,1.0
52,1085113086288158720,1.0
53,1082604628125061120,3.0
54,1085502763331698688,3.0
55,1083418309599596544,1.0
56,1082359429478182912,1.0
57,1083120596727316480,1.0
58,1082855990062706688,1.0
59,1082890706149130240,3.0
60,1082464074653405185,1.0
61,1083804168391933953,1.0
62,1084494468101869570,3.0
63,1083033177462054913,1.0
64,1082421819859222530,3.0
65,1083493296863883265,3.0
66,1083083933582012419,1.0
67,1083715394823704577,3.0
68,1084228441833132032,1.0
69,1084493602183671809,3.0
70,1083472583658532865,1.0
71,1083891169078243328,1.0
72,1084860735702872065,1.0
73,1084167907628777472,3.0
74,1083711188922523648,3.0
75,1082288928470851584,1.0
76,1084069284412878848,1.0
77,1082305505622740996,3.0
78,1084355563272761344,1.0
79,1083743575295299584,1.0
